year,month,hour,weekday,crashes,fatal,serious
2023,4,0,2,20,0,5
2023,4,0,3,18,0,6
2023,4,0,4,16,0,4
2023,4,0,5,16,0,0
2023,4,0,6,35,0,8
2023,4,0,7,44,0,13
2023,4,1,1,55,0,18
2023,4,1,2,12,0,1
2023,4,1,3,11,0,3
2023,4,1,4,9,0,3
2023,4,1,5,10,0,1
2023,4,1,6,22,2,7
2023,4,1,7,51,0,8
2023,4,2,1,41,0,7
2023,4,2,2,8,1,0
2023,4,2,3,12,0,2
2023,4,2,4,9,0,1
2023,4,2,5,7,0,2
2023,4,2,6,9,1,2
2023,4,2,7,36,0,6
2023,4,3,1,40,2,8
2023,4,3,2,9,0,1
2023,4,3,3,4,0,2
2023,4,3,4,5,0,2
2023,4,3,5,13,1,5
2023,4,3,6,19,1,1
2023,4,3,7,29,0,6
2023,4,4,1,33,3,9
2023,4,4,2,13,0,3
2023,4,4,3,7,0,2
2023,4,4,4,7,0,1
2023,4,4,5,15,0,3
2023,4,4,6,10,0,1
2023,4,4,7,31,1,6
2023,4,5,1,45,2,5
2023,4,5,2,44,0,13
2023,4,5,3,44,0,4
2023,4,5,4,41,0,5
2023,4,5,5,43,1,8
2023,4,5,6,43,0,7
2023,4,5,7,21,0,6
2023,4,6,1,34,1,4
2023,4,6,2,67,0,10
2023,4,6,3,89,3,12
2023,4,6,4,68,0,11
2023,4,6,5,67,0,10
2023,4,6,6,57,1,11
2023,4,6,7,19,0,2
2023,4,7,1,28,1,9
2023,4,7,2,159,1,20
2023,4,7,3,160,2,18
2023,4,7,4,179,0,22
2023,4,7,5,155,0,17
2023,4,7,6,138,0,19
2023,4,7,7,31,0,5
2023,4,8,1,32,0,10
2023,4,8,2,125,0,14
2023,4,8,3,141,1,17
2023,4,8,4,158,1,22
2023,4,8,5,157,1,16
2023,4,8,6,106,0,13
2023,4,8,7,59,0,17
2023,4,9,1,42,0,3
2023,4,9,2,125,1,19
2023,4,9,3,103,0,19
2023,4,9,4,127,4,16
2023,4,9,5,142,3,21
2023,4,9,6,100,2,19
2023,4,9,7,121,1,11
2023,4,10,1,86,0,18
2023,4,10,2,119,0,23
2023,4,10,3,133,1,22
2023,4,10,4,129,1,22
2023,4,10,5,128,3,22
2023,4,10,6,149,2,22
2023,4,10,7,128,0,22
2023,4,11,1,106,1,26
2023,4,11,2,113,1,21
2023,4,11,3,148,5,24
2023,4,11,4,163,0,23
2023,4,11,5,129,2,16
2023,4,11,6,161,1,34
2023,4,11,7,200,2,32
2023,4,12,1,147,2,33
2023,4,12,2,157,0,27
2023,4,12,3,150,1,22
2023,4,12,4,141,1,24
2023,4,12,5,172,2,29
2023,4,12,6,207,4,30
2023,4,12,7,211,1,28
2023,4,13,1,172,4,30
2023,4,13,2,208,3,36
2023,4,13,3,177,3,20
2023,4,13,4,204,4,29
2023,4,13,5,203,3,25
2023,4,13,6,223,2,35
2023,4,13,7,245,3,51
2023,4,14,1,167,2,47
2023,4,14,2,227,3,52
2023,4,14,3,213,1,24
2023,4,14,4,183,1,31
2023,4,14,5,238,2,40
2023,4,14,6,261,1,36
2023,4,14,7,219,1,46
2023,4,15,1,211,2,44
2023,4,15,2,244,4,41
2023,4,15,3,229,5,25
2023,4,15,4,249,3,42
2023,4,15,5,295,3,52
2023,4,15,6,259,0,45
2023,4,15,7,222,2,46
2023,4,16,1,181,2,39
2023,4,16,2,246,3,38
2023,4,16,3,277,3,31
2023,4,16,4,306,0,38
2023,4,16,5,304,4,39
2023,4,16,6,213,1,30
2023,4,16,7,238,7,45
2023,4,17,1,196,1,40
2023,4,17,2,230,1,41
2023,4,17,3,247,1,32
2023,4,17,4,260,0,35
2023,4,17,5,274,3,47
2023,4,17,6,232,1,45
2023,4,17,7,204,6,35
2023,4,18,1,148,4,24
2023,4,18,2,156,3,24
2023,4,18,3,153,2,32
2023,4,18,4,179,1,36
2023,4,18,5,187,1,30
2023,4,18,6,173,1,33
2023,4,18,7,165,3,31
2023,4,19,1,105,1,25
2023,4,19,2,91,1,17
2023,4,19,3,98,1,12
2023,4,19,4,106,0,18
2023,4,19,5,100,1,25
2023,4,19,6,128,0,28
2023,4,19,7,114,0,19
2023,4,20,1,81,2,14
2023,4,20,2,59,0,7
2023,4,20,3,60,0,12
2023,4,20,4,53,0,11
2023,4,20,5,71,1,9
2023,4,20,6,74,1,13
2023,4,20,7,119,2,25
2023,4,21,1,56,1,12
2023,4,21,2,52,1,7
2023,4,21,3,45,1,8
2023,4,21,4,58,0,16
2023,4,21,5,70,0,12
2023,4,21,6,77,1,13
2023,4,21,7,89,0,30
2023,4,22,1,55,1,14
2023,4,22,2,46,0,9
2023,4,22,3,42,0,9
2023,4,22,4,45,1,9
2023,4,22,5,58,1,9
2023,4,22,6,75,2,18
2023,4,22,7,86,1,20
2023,4,23,1,38,1,7
2023,4,23,2,18,0,3
2023,4,23,3,26,0,5
2023,4,23,4,31,0,7
2023,4,23,5,36,2,6
2023,4,23,6,50,2,11
2023,4,23,7,76,1,16
2023,5,0,1,73,1,21
2023,5,0,2,46,3,11
2023,5,0,3,17,0,3
2023,5,0,4,20,0,3
2023,5,0,5,24,0,7
2023,5,0,6,29,1,3
2023,5,0,7,47,0,9
2023,5,1,1,48,0,11
2023,5,1,2,29,0,6
2023,5,1,3,12,0,1
2023,5,1,4,12,0,4
2023,5,1,5,10,1,2
2023,5,1,6,17,0,9
2023,5,1,7,40,1,5
2023,5,2,1,38,0,14
2023,5,2,2,23,1,6
2023,5,2,3,9,0,2
2023,5,2,4,6,0,0
2023,5,2,5,10,0,4
2023,5,2,6,11,0,0
2023,5,2,7,27,1,6
2023,5,3,1,35,1,8
2023,5,3,2,20,1,4
2023,5,3,3,7,1,2
2023,5,3,4,8,0,2
2023,5,3,5,12,0,2
2023,5,3,6,7,0,0
2023,5,3,7,34,1,8
2023,5,4,1,25,0,5
2023,5,4,2,14,0,3
2023,5,4,3,17,0,2
2023,5,4,4,28,0,6
2023,5,4,5,14,0,3
2023,5,4,6,13,0,5
2023,5,4,7,25,0,6
2023,5,5,1,41,0,7
2023,5,5,2,41,0,6
2023,5,5,3,47,2,11
2023,5,5,4,53,0,13
2023,5,5,5,42,1,12
2023,5,5,6,28,0,6
2023,5,5,7,29,1,7
2023,5,6,1,20,0,3
2023,5,6,2,101,1,11
2023,5,6,3,101,2,24
2023,5,6,4,126,0,12
2023,5,6,5,73,1,13
2023,5,6,6,77,0,10
2023,5,6,7,19,0,3
2023,5,7,1,18,0,6
2023,5,7,2,223,1,25
2023,5,7,3,316,2,39
2023,5,7,4,341,1,41
2023,5,7,5,206,2,24
2023,5,7,6,207,2,26
2023,5,7,7,35,0,6
2023,5,8,1,24,0,6
2023,5,8,2,151,2,20
2023,5,8,3,235,2,32
2023,5,8,4,257,0,26
2023,5,8,5,177,0,20
2023,5,8,6,144,2,20
2023,5,8,7,54,1,13
2023,5,9,1,59,1,18
2023,5,9,2,185,1,25
2023,5,9,3,222,2,33
2023,5,9,4,212,1,27
2023,5,9,5,142,3,18
2023,5,9,6,165,0,28
2023,5,9,7,110,1,12
2023,5,10,1,112,1,38
2023,5,10,2,173,3,27
2023,5,10,3,185,2,26
2023,5,10,4,238,4,41
2023,5,10,5,184,0,32
2023,5,10,6,206,6,40
2023,5,10,7,184,0,35
2023,5,11,1,173,2,44
2023,5,11,2,225,3,37
2023,5,11,3,201,1,31
2023,5,11,4,232,1,41
2023,5,11,5,207,3,34
2023,5,11,6,228,4,32
2023,5,11,7,213,0,43
2023,5,12,1,222,1,45
2023,5,12,2,273,0,42
2023,5,12,3,253,4,42
2023,5,12,4,250,3,35
2023,5,12,5,201,2,27
2023,5,12,6,245,2,35
2023,5,12,7,234,2,49
2023,5,13,1,237,4,61
2023,5,13,2,355,3,82
2023,5,13,3,303,0,37
2023,5,13,4,320,1,40
2023,5,13,5,262,1,43
2023,5,13,6,348,1,60
2023,5,13,7,259,2,49
2023,5,14,1,286,2,69
2023,5,14,2,355,1,75
2023,5,14,3,334,4,49
2023,5,14,4,335,2,57
2023,5,14,5,324,5,62
2023,5,14,6,338,2,57
2023,5,14,7,255,3,44
2023,5,15,1,252,5,52
2023,5,15,2,378,5,78
2023,5,15,3,402,1,68
2023,5,15,4,424,2,67
2023,5,15,5,355,1,62
2023,5,15,6,355,2,49
2023,5,15,7,270,4,54
2023,5,16,1,254,8,54
2023,5,16,2,435,2,66
2023,5,16,3,459,3,57
2023,5,16,4,467,0,83
2023,5,16,5,406,1,78
2023,5,16,6,314,2,47
2023,5,16,7,226,2,51
2023,5,17,1,226,0,65
2023,5,17,2,398,5,69
2023,5,17,3,387,1,59
2023,5,17,4,441,3,64
2023,5,17,5,364,3,82
2023,5,17,6,289,3,58
2023,5,17,7,209,2,41
2023,5,18,1,180,1,37
2023,5,18,2,276,3,43
2023,5,18,3,298,2,49
2023,5,18,4,315,2,45
2023,5,18,5,301,1,60
2023,5,18,6,247,2,45
2023,5,18,7,195,2,48
2023,5,19,1,145,0,28
2023,5,19,2,172,0,23
